BCNN_VGG16:
---Makename----:
Class82 :      Bentley       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class83 :       Brabus       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class84 :      Bugatti       , TP:  0   , TP+FP:  6   , TP+FN:  0   , Precision:0.0000, Recall:   nan
Class85 :       Pagani       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class86 :   Guangqichuanqi   , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class87 :        GAC         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class88 :       Karry        , TP:  13  , TP+FP:  13  , TP+FN:  15  , Precision:1.0000, Recall:0.8667
Class89 :       Ciimo        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class90 :        CHTC        , TP:  8   , TP+FP:  11  , TP+FN:  12  , Precision:0.7273, Recall:0.6667
Class91 :       Jaguar       , TP:  13  , TP+FP:  18  , TP+FN:  18  , Precision:0.7222, Recall:0.7222
Class92 :       Morgan       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class93 :       Subaru       , TP:  55  , TP+FP:  72  , TP+FN:  71  , Precision:0.7639, Recall:0.7746
Class94 :       Skoda        , TP:  71  , TP+FP:  83  , TP+FN:  84  , Precision:0.8554, Recall:0.8452
Class95 :       Xinkai       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class96 :       Nissan       , TP: 105  , TP+FP: 144  , TP+FN: 144  , Precision:0.7292, Recall:0.7292
Class97 :      Changhe       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class98 :        RANZ        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class99 :       Honda        , TP:  82  , TP+FP: 109  , TP+FN: 110  , Precision:0.7523, Recall:0.7455
Class100:      Lincoln       , TP:  32  , TP+FP:  46  , TP+FN:  38  , Precision:0.6957, Recall:0.8421
Class101:      Peugeot       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class102:        Opel        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class103:        Oley        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class104:        BYD         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class105:       Jonway       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class106:      Huizhong      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class107:     Jianghuai      , TP:  95  , TP+FP: 129  , TP+FN: 133  , Precision:0.7364, Recall:0.7143
Class108:     Jiangling      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class109:      Vauxhall      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class110:       Volvo        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class111:      Ferrari       , TP:  31  , TP+FP:  38  , TP+FN:  42  , Precision:0.8158, Recall:0.7381
Class112:       Haige        , TP:  16  , TP+FP:  20  , TP+FN:  18  , Precision:0.8000, Recall:0.8889
Class113:       Haima        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class114:  Haima(Zhengzhou)  , TP:  3   , TP+FP:  4   , TP+FN:  4   , Precision:0.7500, Recall:0.7500
Class115:      Cheetah       , TP:  12  , TP+FP:  25  , TP+FN:  14  , Precision:0.4800, Recall:0.8571
